00007FFDC1D31190 Export 256  CreateUmsCompletionList
00007FFDC1D311D0 Export 257  CreateUmsThreadContext
00007FFDC1D520E0 Export 258  CreateWaitableTimerA
00007FFDC1D52100 Export 259  CreateWaitableTimerExA
00007FFDC1D149D0 Export 260  CreateWaitableTimerExW
00007FFDC1CF10B0 Export 261  CreateWaitableTimerW
00007FFDC1D8EB47 Export 262  CtrlRoutine
00007FFDC1D100A0 Export 263  DeactivateActCtx
00007FFDC1D0B850 Export 264  DeactivateActCtxWorker
00007FFDC1D29BE0 Export 265  DebugActiveProcess
00007FFDC1D29BC0 Export 266  DebugActiveProcessStop
00007FFDC1D29C00 Export 267  DebugBreak
00007FFDC1D26CD0 Export 268  DebugBreakProcess
00007FFDC1D26D00 Export 269  DebugSetProcessKillOnExit
00007FFDC1D8EBF5 Export 270  DecodePointer
00007FFDC1D8EC20 Export 271  DecodeSystemPointer
00007FFDC1D53D90 Export 272  DefineDosDeviceA
00007FFDC1D14B70 Export 273  DefineDosDeviceW
00007FFDC1D14310 Export 274  DelayLoadFailureHook
00007FFDC1D02860 Export 275  DeleteAtom
00007FFDC1D10820 Export 276  DeleteBoundaryDescriptor
00007FFDC1D8ECAE Export 277  DeleteCriticalSection
00007FFDC1D15230 Export 278  DeleteFiber
00007FFDC1D14B80 Export 279  DeleteFileA
00007FFDC1D526C0 Export 280  DeleteFileTransactedA
00007FFDC1D14170 Export 281  DeleteFileTransactedW
00007FFDC1D14B90 Export 282  DeleteFileW
00007FFDC1D8ED3B Export 283  DeleteProcThreadAttributeList
00007FFDC1D29C20 Export 284  DeleteSynchronizationBarrier
00007FFDC1D111F0 Export 285  DeleteTimerQueue
00007FFDC1D11260 Export 286  DeleteTimerQueueEx
00007FFDC1D10420 Export 287  DeleteTimerQueueTimer
00007FFDC1D31210 Export 288  DeleteUmsCompletionList
00007FFDC1D31250 Export 289  DeleteUmsThreadContext
00007FFDC1D54030 Export 290  DeleteVolumeMountPointA
00007FFDC1D14BA0 Export 291  DeleteVolumeMountPointW
00007FFDC1D31290 Export 292  DequeueUmsCompletionListItems
00007FFDC1D05590 Export 293  DeviceIoControl
00007FFDC1D0FEC0 Export 294  DisableThreadLibraryCalls
00007FFDC1D33160 Export 295  DisableThreadProfiling
00007FFDC1D8EEBA Export 296  DisassociateCurrentThreadFromCallback
00007FFDC1D8EEEC Export 297  DiscardVirtualMemory
00007FFDC1D11F60 Export 298  DisconnectNamedPipe
00007FFDC1D4A240 Export 299  DnsHostnameToComputerNameA
00007FFDC1D29C40 Export 300  DnsHostnameToComputerNameExW
00007FFDC1D0C510 Export 301  DnsHostnameToComputerNameW
00007FFDC1D02A90 Export 302  DosDateTimeToFileTime
00007FFDC1D55430 Export 303  DosPathToSessionPathA
00007FFDC1D55630 Export 304  DosPathToSessionPathW
00007FFDC1D58A60 Export 305  DuplicateConsoleHandle
00007FFDC1D27870 Export 306  DuplicateEncryptionInfoFileExt
00007FFDC1D148F0 Export 307  DuplicateHandle
00007FFDC1D331A0 Export 308  EnableThreadProfiling
00007FFDC1D8F032 Export 309  EncodePointer
00007FFDC1D8F05D Export 310  EncodeSystemPointer
00007FFDC1D38F20 Export 311  EndUpdateResourceA
00007FFDC1D38F30 Export 312  EndUpdateResourceW
00007FFDC1D8F0B5 Export 313  EnterCriticalSection
00007FFDC1D29C60 Export 314  EnterSynchronizationBarrier
00007FFDC1D312F0 Export 315  EnterUmsSchedulingMode
00007FFDC1D3A310 Export 316  EnumCalendarInfoA
00007FFDC1D3A3B0 Export 317  EnumCalendarInfoExA
00007FFDC1D0C740 Export 318  EnumCalendarInfoExEx
00007FFDC1D29C80 Export 319  EnumCalendarInfoExW
00007FFDC1D29CA0 Export 320  EnumCalendarInfoW
00007FFDC1D3A450 Export 321  EnumDateFormatsA
00007FFDC1D3A4B0 Export 322  EnumDateFormatsExA
00007FFDC1D29CC0 Export 323  EnumDateFormatsExEx
00007FFDC1D29CE0 Export 324  EnumDateFormatsExW
00007FFDC1D29D00 Export 325  EnumDateFormatsW
00007FFDC1D3A520 Export 326  EnumLanguageGroupLocalesA
00007FFDC1D29D20 Export 327  EnumLanguageGroupLocalesW
00007FFDC1D27CC0 Export 328  EnumResourceLanguagesA
